id,group,adsetName,campaignName,adName,adsetStatus,adviceText,dailyBudget,suggestedBudget,primaryMetric,primaryCost,last7Spend,last7Leads,image
"01","建議加預算","25325 鉤子測試-108課綱識字卡-拼圖多圖-藍（輕鬆學）","L3 🪝108課綱識字卡❌（回傳不准-控3刀）","25325 拼圖多圖-藍 - 複本","ACTIVE","爆款，建議加預算 20-30%","75","94","CPL","2.81","336.79","120","assets/images/01.jpg"
"02","建議加預算","25554 醜圖-怒火小寶貝復刻-高雄市 - 小百科👌","L2 醜圖-醜圖-怒火小寶貝復刻-城市版","1","ACTIVE","近 7 天趨勢大幅改善，考慮加預算","12","15","CPL","6.14","61.41","10","assets/images/02.jpg"
"03","建議加預算","25325 鉤子測試-108課綱識字卡-拼圖多圖-藍（輕鬆學）","L3 108課綱鉤子拼圖搬運-10/21","藍","ACTIVE","爆款，建議加預算 20-30%","44","55","CPL","3.47","149.15","43","assets/images/03.jpg"
"04","建議加預算","25678 醜圖-ADHD自測表復刻- Emily👌","❌ L2+L3 醜圖-ADHD自測表復刻","1","ACTIVE","爆款，建議加預算 20-30%","15","19","CPL","4.65","69.75","15","assets/images/04.jpg"
"05","建議加預算","25942 GPT批量-情緒博客來繪本復刻-冷靜(JoJo閱讀)","L2+L3 GPT批量-情緒博客來繪本復刻","25942 GPT批量-情緒博客來繪本復刻-冷靜(JoJo閱讀)","ACTIVE","爆款，建議加預算 20-30%","15","19","CPL","2.8","67.16","24","assets/images/05.jpg"
"06","穩定運行","25606 醜圖-我們免費了分城市-桃園市-愛共讀 - 複本","L2 醜圖-我們免費了分城市-城市版","2","ACTIVE","維持現狀","45","45","CPL","6.82","293.13","43","assets/images/06.jpg"
"07","穩定運行","25607 醜圖-我們免費了分城市-台中市-愛共讀 - 複本","L2 醜圖-我們免費了分城市-城市版","2","ACTIVE","維持現狀","46","46","CPL","7.85","282.68","36","assets/images/07.jpg"
"08","穩定運行","25904 注音識字班✅","L2+L3 GPT批量-課程圖-多圖","25904 注音識字班（jojoreading_tw）","ACTIVE","維持現狀","66","66","CPL","5.76","403.07","70","assets/images/08.jpg"
"09","穩定運行","25943 GPT批量-情緒博客來繪本復刻-勇敢(育兒小百科)","L2+L3 GPT批量-情緒博客來繪本復刻","25943 GPT批量-情緒博客來繪本復刻-勇敢1(育兒小百科)","ACTIVE","維持現狀","12","12","CPL","5.82","64.07","11","assets/images/09.jpg"
